"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C03-2022-0028188","Bartholomew","German",9,"03-05-26-230-005.900-009",510,213300,224500,234500,0.909594882729211,0.957356076759062,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028766","Bartholomew","German",9,"03-05-26-320-001.400-009",510,221600,223500,220000,1.00727272727273,1.01590909090909,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028681","Bartholomew","German",9,"03-05-26-320-003.100-009",510,189600,192900,205000,0.924878048780488,0.940975609756098,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0030427","Bartholomew","German",9,"03-05-26-320-003.800-009",510,170900,201400,210000,0.813809523809524,0.959047619047619,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028879","Bartholomew","German",9,"03-05-27-140-008.400-009",510,146400,182800,130000,1.12615384615385,1.40615384615385,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028880","Bartholomew","German",9,"03-05-27-140-008.400-009",510,146400,182800,193000,0.758549222797927,0.947150259067358,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028150","Bartholomew","German",9,"03-05-27-140-011.200-009",510,143900,178700,185000,0.777837837837838,0.965945945945946,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028845","Bartholomew","German",9,"03-05-27-140-012.800-009",510,146600,175300,95000,1.54315789473684,1.84526315789474,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029372","Bartholomew","German",9,"03-05-27-140-012.800-009",510,146600,175300,206000,0.711650485436893,0.850970873786408,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029766","Bartholomew","German",9,"03-05-27-210-002.800-009",510,123000,141500,175000,0.702857142857143,0.808571428571429,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0030270","Bartholomew","German",9,"03-05-29-000-000.302-009",500,62800,62800,84900,0.739693757361602,0.739693757361602,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029279","Bartholomew","German",9,"03-05-32-000-002.613-009",501,4700,138400,81000,0.0580246913580247,1.70864197530864,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029641","Bartholomew","German",9,"03-05-34-110-002.100-009",510,151700,196600,235000,0.645531914893617,0.836595744680851,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029365","Bartholomew","German",9,"03-05-34-410-000.600-009",510,161200,179700,180000,0.895555555555556,0.998333333333333,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028194","Bartholomew","German",9,"03-05-34-410-001.600-009",510,157400,253000,299900,0.52484161387129,0.843614538179393,"Used In Study","ON RATIO STUDY",FALSE
