SaleID,County,Township,TaxDistrict,ParcelNumber,PropertyClass,PostedAV,CurrentAV,SalePrice,PostedSaleRatio,SaleRatio,MultiParcel,Primary,StudySection
C01-2020-2183002,Adams,Washington,22,01-05-04-203-002.000-022,510,80800,80800,92400,0.874458874,0.874458874,N,Y,ResImp
C01-2020-2200382,Adams,Wabash,18,01-11-05-301-022.010-018,510,281000,281000,308400,0.911154345,0.911154345,N,Y,ResImp
C01-2020-2238285,Adams,Root,14,01-02-28-301-001.222-014,510,153700,153700,137400,1.118631732,1.118631732,N,Y,ResImp
C01-2020-2239133,Adams,Washington,22,01-05-01-101-006.000-022,510,414500,414500,406800,1.01892822,1.01892822,N,Y,ResImp
C01-2020-2275278,Adams,Washington,22,01-05-03-104-003.000-022,510,146000,146000,161100,0.906269398,0.906269398,N,Y,ResImp
C01-2020-2419436,Adams,Washington,22,01-05-01-102-003.000-022,510,149100,149100,119600,1.246655518,1.246655518,N,Y,ResImp
C01-2020-2431039,Adams,Wabash,18,01-11-05-202-043.000-018,510,140600,140600,148700,0.945527909,0.945527909,N,Y,ResImp
C01-2020-2455990,Adams,Wabash,19,01-11-20-203-019.000-019,510,122300,122300,167700,0.729278473,0.729278473,N,Y,ResImp
C01-2020-2463360,Adams,Monroe,11,01-08-04-200-016.000-011,510,124100,124100,127300,0.974862529,0.974862529,N,Y,ResImp
C01-2020-2532287,Adams,Monroe,10,01-08-33-301-317.000-010,510,140600,140600,142100,0.989444053,0.989444053,N,Y,ResImp
C01-2020-2535356,Adams,Monroe,11,01-08-04-202-015.032-011,510,377600,377600,367200,1.02832244,1.02832244,N,Y,ResImp
C01-2020-2563817,Adams,Monroe,11,01-08-04-201-024.000-011,510,117400,117400,121500,0.966255144,0.966255144,N,Y,ResImp
C01-2020-2605568,Adams,Root,14,01-02-28-401-501.237-014,510,202200,202200,220400,0.917422868,0.917422868,N,Y,ResImp
C01-2020-2615440,Adams,Hartford,5,01-10-03-401-017.000-005,510,70500,70500,81400,0.866093366,0.866093366,N,Y,ResImp
C01-2020-2616713,Adams,St. Marys,15,01-06-18-300-016.000-015,511,181000,181000,210600,0.859449193,0.859449193,N,Y,ResImp
C01-2020-2650967,Adams,Root,14,01-02-33-201-028.000-014,510,155300,155300,177100,0.876905703,0.876905703,N,Y,ResImp
C01-2020-2705033,Adams,Root,14,01-02-33-301-001.170-014,510,237800,237800,223000,1.066367713,1.066367713,N,Y,ResImp
C01-2020-2736620,Adams,French,4,01-07-28-100-002.000-004,511,274300,274300,271300,1.01105787,1.01105787,N,Y,ResImp
C01-2020-2737007,Adams,Washington,20,01-05-35-200-003.000-020,511,221100,221100,251900,0.877729258,0.877729258,N,Y,ResImp
C01-2020-2827404,Adams,Wabash,18,01-11-05-201-006.000-018,510,149100,149100,142800,1.044117647,1.044117647,N,Y,ResImp
C01-2020-2850863,Adams,Washington,22,01-05-03-409-017.000-022,510,73800,73800,85800,0.86013986,0.86013986,N,Y,ResImp
C01-2020-2851960,Adams,Root,14,01-02-33-201-070.000-014,510,146700,146700,152000,0.965131579,0.965131579,N,Y,ResImp
C01-2020-2914763,Adams,Root,13,01-02-04-100-003.000-013,511,250800,250800,203600,1.231827112,1.231827112,N,Y,ResImp
C01-2020-2926376,Adams,Root,14,01-02-34-103-019.000-014,510,106900,106900,97300,1.098663926,1.098663926,N,Y,ResImp
C01-2020-2941727,Adams,Wabash,19,01-11-21-301-020.000-019,510,333800,333800,342500,0.97459854,0.97459854,N,Y,ResImp
C01-2020-2971277,Adams,St. Marys,15,01-06-09-301-011.000-015,510,79400,79400,81500,0.974233129,0.974233129,N,Y,ResImp
C01-2020-3098858,Adams,Washington,20,01-05-16-201-062.000-020,510,201200,201200,178200,1.129068462,1.129068462,N,Y,ResImp
C01-2020-3146160,Adams,Root,14,01-02-34-403-027.000-014,510,102000,102000,113600,0.897887324,0.897887324,N,Y,ResImp
C01-2020-3161165,Adams,Root,14,01-02-35-402-086.000-014,510,82500,82500,106600,0.773921201,0.773921201,N,Y,ResImp
C01-2020-3204935,Adams,Monroe,10,01-08-33-301-389.000-010,510,92900,92900,81300,1.142681427,1.142681427,N,Y,ResImp
C01-2020-3234370,Adams,Washington,22,01-05-01-101-023.000-022,510,234400,234400,242800,0.965403624,0.965403624,N,Y,ResImp
C01-2020-3242624,Adams,Root,13,01-02-28-101-011.000-013,510,163000,163000,184800,0.882034632,0.882034632,N,Y,ResImp
C01-2020-3261560,Adams,Wabash,19,01-11-29-412-007.000-019,510,61400,61400,55700,1.102333932,1.102333932,N,Y,ResImp
C01-2020-3294644,Adams,Washington,22,01-05-03-207-018.000-022,510,105800,105800,117600,0.899659864,0.899659864,N,Y,ResImp
C01-2020-3306168,Adams,Wabash,18,01-11-05-105-015.000-018,510,196300,196300,205300,0.956161715,0.956161715,N,Y,ResImp
C01-2020-3331788,Adams,Wabash,18,01-11-04-101-273.000-018,510,142500,142500,150300,0.948103792,0.948103792,N,Y,ResImp
C01-2020-3333272,Adams,Monroe,11,01-08-04-202-025.000-011,510,89400,89400,106300,0.841015992,0.841015992,N,Y,ResImp
C01-2020-3387313,Adams,Root,14,01-02-35-403-015.000-014,510,200900,200900,203800,0.985770363,0.985770363,N,Y,ResImp
C01-2020-3472398,Adams,Blue Creek,1,01-09-06-300-004.000-001,511,152100,152100,174700,0.870635375,0.870635375,N,Y,ResImp
C01-2020-3490012,Adams,Washington,20,01-05-16-201-023.000-020,510,233600,233600,246000,0.949593496,0.949593496,N,Y,ResImp
C01-2020-3552162,Adams,Monroe,10,01-08-32-404-074.000-010,510,120900,120900,166400,0.7265625,0.7265625,N,Y,ResImp
C01-2020-3552930,Adams,Root,13,01-02-36-100-003.000-013,511,127000,127000,125200,1.014376997,1.014376997,N,Y,ResImp
C01-2020-3632296,Adams,Kirkland,7,01-04-11-100-004.000-007,511,379000,379000,296900,1.276524082,1.276524082,N,Y,ResImp
C01-2020-3683012,Adams,Monroe,10,01-08-32-405-005.000-010,510,122400,122400,89800,1.363028953,1.363028953,N,Y,ResImp
C01-2020-3697920,Adams,Washington,22,01-05-03-203-019.000-022,510,76200,76200,66100,1.15279879,1.15279879,N,Y,ResImp
C01-2020-3722455,Adams,Jefferson,6,01-12-29-200-007.000-006,511,103100,103100,108200,0.952865065,0.952865065,N,Y,ResImp
C01-2020-3725060,Adams,Monroe,10,01-08-33-401-048.000-010,510,59300,59300,72000,0.823611111,0.823611111,N,Y,ResImp
C01-2020-3740104,Adams,Root,14,01-02-36-301-007.000-014,510,300900,300900,305800,0.983976455,0.983976455,N,Y,ResImp
C01-2020-3766554,Adams,Wabash,18,01-11-05-202-052.000-018,510,134100,134100,151700,0.883981543,0.883981543,N,Y,ResImp
C01-2020-3768737,Adams,Root,14,01-02-33-402-004.000-014,510,133900,133900,130400,1.026840491,1.026840491,N,Y,ResImp
C01-2020-3796689,Adams,Root,14,01-02-33-200-099.000-014,510,222700,222700,223100,0.998207082,0.998207082,N,Y,ResImp
C01-2020-3796857,Adams,Washington,22,01-05-04-204-030.000-022,510,121100,121100,142000,0.852816901,0.852816901,N,Y,ResImp
C01-2020-3802079,Adams,Root,14,01-02-34-105-046.000-014,510,71600,71600,70900,1.009873061,1.009873061,N,Y,ResImp
C01-2020-3824617,Adams,Washington,22,01-05-03-421-007.000-022,510,76200,76200,97600,0.780737705,0.780737705,N,Y,ResImp
C01-2020-3906515,Adams,Washington,22,01-05-03-200-014.000-022,447,255000,254900,252900,1.008303677,1.007908264,N,Y,ComImp
C01-2020-3923955,Adams,Root,14,01-02-28-301-501.222-014,510,155100,155100,143000,1.084615385,1.084615385,N,Y,ResImp
C01-2020-3966333,Adams,Monroe,10,01-08-33-301-424.000-010,510,131500,131500,135500,0.970479705,0.970479705,N,Y,ResImp
C01-2020-4007913,Adams,Preble,12,01-01-15-300-008.000-012,511,343200,343200,416900,0.823218997,0.823218997,N,Y,ResImp
C01-2020-4069383,Adams,Monroe,10,01-08-32-405-030.000-010,510,120800,120800,125100,0.965627498,0.965627498,N,Y,ResImp
C01-2020-4090077,Adams,Washington,22,01-05-03-202-130.000-022,429,74400,74400,72100,1.031900139,1.031900139,N,Y,ComImp
C01-2020-4106582,Adams,Root,14,01-02-35-101-002.622-014,510,221100,221100,208700,1.059415429,1.059415429,N,Y,ResImp
C01-2020-4179003,Adams,Monroe,11,01-08-04-100-012.000-011,511,119700,119700,84600,1.414893617,1.414893617,N,Y,ResImp
C01-2020-4183693,Adams,Preble,12,01-01-01-200-020.000-012,511,153900,153900,156200,0.985275288,0.985275288,N,Y,ResImp
C01-2020-4210063,Adams,Root,14,01-02-33-200-051.000-014,510,216600,216600,208500,1.038848921,1.038848921,N,Y,ResImp
C01-2020-4242690,Adams,Monroe,10,01-08-33-402-005.000-010,510,79700,79700,83800,0.951073986,0.951073986,N,Y,ResImp
C01-2020-4244867,Adams,Monroe,10,01-08-33-301-147.000-010,510,132900,132900,151300,0.87838731,0.87838731,N,Y,ResImp
C01-2020-4253329,Adams,Washington,22,01-05-02-102-129.000-022,510,172300,172300,190400,0.904936975,0.904936975,N,Y,ResImp
C01-2020-4279864,Adams,Root,13,01-02-13-300-003.000-013,511,232700,232700,216500,1.07482679,1.07482679,N,Y,ResImp
C01-2020-4360821,Adams,Monroe,10,01-08-32-406-009.000-010,510,219200,219200,210500,1.041330166,1.041330166,N,Y,ResImp
C01-2020-4379618,Adams,Jefferson,6,01-12-28-100-005.500-006,511,148000,148000,159800,0.926157697,0.926157697,N,Y,ResImp
C01-2020-4394139,Adams,Root,14,01-02-34-301-016.000-014,510,75500,75500,88300,0.855039638,0.855039638,N,Y,ResImp
