"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%118","Howard","2023","Countywide",0.16,0.17,0.2,25.42,36.29,1.08,0,36
"2.5%119","Huntington","2023","Countywide",0.15,0.18,0.2,37.19,47.02,1.02,0,31
"2.5%120","Jackson","2023","Countywide",0.07,0.09,0.12,69.35,72.29,1.06,0,94
"2.5%121","Jasper","2023","Countywide",0.12,0.14,0.15,58.25,80.71,0.96,0,60
"2.5%122","Jay","2023","Countywide",0.1,0.1,0.12,43.1,62.08,1.08,0,36
"2.5%123","Jefferson","2023","Countywide",0.07,0.1,0.13,69.34,79.62,1.23,0,38
"2.5%124","Jennings","2023","Countywide",0,0.08,0.09,97.09,113.54,0.86,0,59
"2.5%125","Johnson","2023","Countywide",0.08,0.1,0.12,53.44,74.63,0.96,0,20
"2.5%126","Knox","2023","Countywide",0.12,0.14,0.19,59.47,59.97,1.18,0,37
"2.5%127","Kosciusko","2023","Countywide",0.09,0.12,0.14,49.53,70.73,0.97,0,56
"2.5%128","Lagrange","2023","Countywide",0.06,0.08,0.1,66.42,75.34,1,0,56
"2.5%129","Lake","2023","Countywide",0.07,0.12,0.15,58.98,73.72,1.12,0,24
"2.5%130","Laporte","2023","Countywide",0.15,0.17,0.19,34.08,45.82,1.15,0,69
"2.5%131","Lawrence","2023","Countywide",0.06,0.08,0.1,80.17,82.32,1.14,0,82
"2.5%132","Madison","2023","Countywide",0.13,0.16,0.19,35.55,48.3,0.95,0,47
"2.5%133","Marion","2023","Countywide",0.35,0.37,0.37,11.01,21.04,1.27,0,34
"2.5%134","Marshall","2023","Countywide",0.14,0.17,0.2,41.99,52.53,1.03,0,50
"2.5%135","Martin","2023","Countywide",0.06,0.09,0.11,70.35,85.1,1.58,0,40
"2.5%136","Miami","2023","Countywide",0.09,0.13,0.15,60.12,85.22,0.86,0,61
"2.5%137","Monroe","2023","Countywide",0,0.03,0.14,238.82,124.83,1.14,0,20
"2.5%138","Montgomery","2023","Countywide",0.05,0.13,0.16,66.46,88.17,0.88,0,52
"df_sp9","Morgan","2023","Countywide",0.05,0.14,0.2,46.75,61.44,0.99,0,19
"2.5%139","Newton","2023","Countywide",0.14,0.15,0.16,35.24,46.2,1.1,0,40
"2.5%140","Noble","2023","Countywide",0.11,0.12,0.14,49.61,57.19,1.01,0,42
"1","Ohio","2023","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%141","Orange","2023","Countywide",0.03,0.05,0.08,100.46,102.02,1.19,0,46
"2.5%142","Owen","2023","Countywide",0.07,0.11,0.16,74.3,74.28,0.91,0,44
"2.5%143","Parke","2023","Countywide",0.04,0.07,0.1,123.31,105.18,1.51,0,68
"2.5%144","Perry","2023","Countywide",0.04,0.06,0.07,109.96,105.83,1.38,0,42
"2.5%145","Pike","2023","Countywide",0.1,0.11,0.14,60.73,68.6,1.04,0,94
"2.5%146","Porter","2023","Countywide",0.12,0.15,0.18,39.8,51.8,1.05,0,34
"2.5%147","Posey","2023","Countywide",0.13,0.17,0.21,49.79,57.86,1.12,0,60
"2.5%148","Pulaski","2023","Countywide",0.14,0.14,0.16,28.82,38.68,1.01,0,33
"2.5%149","Putnam","2023","Countywide",0.11,0.14,0.18,45.76,57.59,1.15,0,44
"2.5%150","Randolph","2023","Countywide",0.12,0.14,0.16,35.83,50.78,1.08,0,53
"2.5%151","Ripley","2023","Countywide",0.07,0.09,0.12,80.97,82.13,1.11,0,47
"2.5%152","Rush","2023","Countywide",0.1,0.14,0.17,51.64,61.7,1,0,25
"2.5%153","Scott","2023","Countywide",0.11,0.14,0.17,45.21,61.59,1.02,0,23
"2.5%154","Shelby","2023","Countywide",0.13,0.14,0.15,41.59,53.98,1.09,0,45
"2.5%155","Spencer","2023","Countywide",0.08,0.15,0.19,76.08,79.76,1.2,0,48
"2.5%156","St. Joseph","2023","Countywide",0.08,0.12,0.14,61.71,71.84,0.99,0,28
"2.5%157","Starke","2023","Countywide",0.12,0.14,0.18,47.05,54.97,1.01,0,37
"2.5%158","Steuben","2023","Countywide",0.05,0.09,0.16,94.86,95.92,1.01,0,39
"2.5%159","Sullivan","2023","Countywide",0.1,0.13,0.17,60.03,74.44,1.02,0,45
"2.5%160","Switzerland","2023","Countywide",0.05,0.07,0.11,95,85.62,1.61,0,45
"2.5%161","Tippecanoe","2023","Countywide",0.11,0.13,0.16,47.97,57.11,1.16,0,40
"df_sp10","Tipton","2023","Countywide",0.01,0.11,0.15,65.49,91.28,0.78,0,15
"df_sp11","Union","2023","Countywide",0.09,0.13,0.19,63.89,68.4,0.82,0,15
"2.5%162","Vanderburgh","2023","Countywide",0.1,0.13,0.17,40.06,46.84,1.01,0,27
"2.5%163","Vermillion","2023","Countywide",0.17,0.23,0.27,39.29,53.2,0.93,0,21
"2.5%164","Vigo","2023","Countywide",0.07,0.1,0.13,64.19,75.72,1.1,0,46
"2.5%165","Wabash","2023","Countywide",0.13,0.14,0.16,35.82,52,1.01,0,60
"2.5%166","Warren","2023","Countywide",0.12,0.16,0.17,41.89,53.13,1.08,0,38
"2.5%167","Warrick","2023","Countywide",0.08,0.1,0.14,65.59,73.99,0.99,0,52
"2.5%168","Washington","2023","Countywide",0.07,0.11,0.15,66.94,76.69,1.31,0,49
"2.5%169","Wayne","2023","Countywide",0.12,0.15,0.18,36.17,44.53,1.03,0,47
"2.5%170","Wells","2023","Countywide",0.13,0.14,0.17,34.25,42.36,1.11,0,54
"2.5%171","White","2023","Countywide",0.13,0.17,0.18,32.84,44.73,1.08,0,26
"2.5%172","Whitley","2023","Countywide",0.09,0.11,0.16,53.76,58.13,1.16,0,22
"2.5%173","Statewide","2024","Statewide",0.14,0.15,0.16,49.78,62.15,1.03,0,851
"2.5%174","Adams","2024","Countywide",0.13,0.16,0.17,32.51,49.07,1,0,32
"2.5%175","Allen","2024","Countywide",0.11,0.14,0.19,46,57.55,1,0,22
"df_sp12","Bartholomew","2024","Countywide",0.05,0.13,0.18,53.35,67.76,0.87,0,14
"df_sp13","Benton","2024","Countywide",0.16,0.17,0.21,16.43,22.82,0.93,0,8
"df_sp14","Blackford","2024","Countywide",0.06,0.17,0.27,50.39,69.11,1,0,8
"df_sp15","Boone","2024","Countywide",0.08,0.27,0.39,32.43,47.57,1.05,0,5
"df_sp16","Brown","2024","Countywide",0,0.04,0.15,113.65,108.64,0.82,0,10
"11","Carroll","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp17","Cass","2024","Countywide",0.12,0.15,0.2,35.23,45.54,0.95,0,10
"df_sp18","Clark","2024","Countywide",0.04,0.06,0.17,87.99,75.54,0.73,0,7
"df_sp19","Clay","2024","Countywide",0.05,0.09,0.16,86.62,91.74,1.29,0,15
"12","Clinton","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"13","Crawford","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp20","Daviess","2024","Countywide",0.02,0.26,0.38,46.92,76.21,0.91,0,5
"df_sp21","Dearborn","2024","Countywide",0.06,0.06,0.12,60.86,60.03,0.78,0,9
"14","Decatur","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp22","Dekalb","2024","Countywide",0.12,0.18,0.19,41.57,54.81,0.98,0,15
"df_sp23","Delaware","2024","Countywide",0.15,0.2,0.25,34.14,51.83,1.02,0,14
"2.5%176","Dubois","2024","Countywide",0.04,0.1,0.2,110.58,101.06,1.86,0,26
"15","Elkhart","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp24","Fayette","2024","Countywide",0.11,0.17,0.19,29.65,40.23,1.1,0,11
"df_sp25","Floyd","2024","Countywide",0.02,0.11,0.27,47.22,72.76,1,0,5
"2.5%177","Fountain","2024","Countywide",0.14,0.17,0.19,35.59,50.12,1.19,0,21
"df_sp26","Franklin","2024","Countywide",0.04,0.1,0.11,58.46,90.15,1.02,0,8
"16","Fulton","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"17","Gibson","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp27","Grant","2024","Countywide",0.13,0.15,0.16,27.5,42.62,0.98,0,17
"18","Greene","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp28","Hamilton","2024","Countywide",0.17,0.3,0.3,26.46,51.87,2.28,0,7
