"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp187","Lake","Commercial Vacant","North",0.98,1,1.04,16.99,36.3,1.34,0,9
"1117","Lake","Commercial Vacant","Ross",NA,NA,NA,NA,NA,NA,NA,3
"df_sp188","Lake","Commercial Vacant","Calumet",0.62,0.89,0.99,17.82,24.38,0.89,0,9
"2.5%411","Lake","Commercial Improved","Countywide",0.98,0.98,0.99,10.72,24.45,1.07,0,572
"2.5%412","Lake","Commercial Improved","Calumet",0.94,0.97,0.99025,10.56,19.4,1.12,0,55
"df_sp189","Lake","Commercial Improved","Cedar Creek",0.91,0.97,1.02,9.99,15.79,1.01,0,15
"2.5%413","Lake","Commercial Improved","Center",0.91,0.97,1,10.37,15.94,1.07,0,37
"2.5%414","Lake","Commercial Improved","Hanover",0.95,0.98,0.99,6.26,11.66,1.01,0,20
"2.5%415","Lake","Commercial Improved","Hobart",0.95,0.98,0.99,6.95,14.21,1.05,0,47
"2.5%416","Lake","Commercial Improved","North",0.98,0.99,0.99,10.65,23.53,1.06,0,317
"2.5%417","Lake","Commercial Improved","Ross",0.85,0.93,0.96,18.81,51.23,1.18,0,43
"2.5%418","Lake","Commercial Improved","St. John",0.95,0.99,1.03,10.6,14.92,1.04,0,32
"df_sp190","Lake","Commercial Improved","Eagle Creek",0.96,0.98,0.99,2.14,3.33,1,0,6
"2.5%419","Lake","Residential Vacant","Countywide",1.03,1.06,1.08,21.55,36.63,1.1,0,301
"2.5%420","Lake","Residential Vacant","Calumet",1,1.09,1.16,22.12,33.65,1.13,0,27
"2.5%421","Lake","Residential Vacant","Cedar Creek",1.13,1.15,1.16,12.53,28.15,1.1,0,26
"2.5%422","Lake","Residential Vacant","Center",0.96,1.05,1.1,16.51,22.81,1.12,0,49
"df_sp191","Lake","Residential Vacant","Hanover",1.05,1.07,1.23,13.43,22.66,1.13,0,10
"df_sp192","Lake","Residential Vacant","Hobart",0.87,0.95,1.14,13.36,18.62,1.12,0,6
"2.5%423","Lake","Residential Vacant","North",1,1.05,1.09,18.44,32.6,1.14,0,56
"2.5%424","Lake","Residential Vacant","St. John",1.04,1.09,1.13,15.74,25.82,1.25,0,58
"2.5%425","Lake","Residential Vacant","Winfield",0.5,1.01,1.14,37.8,63.38,1.07,0,24
"2.5%426","Lake","Residential Vacant","Eagle Creek",0.91,1,1.03,34.21,60.85,0.84,0,45
"2.5%427","Lake","Residential Improved","Countywide",0.99,0.99,0.99,12.81,32.19,1.04,0,14854
"2.5%428","Lake","Residential Improved","Calumet",0.99,0.99,1,22.07,48.82,1.11,0,1590
"2.5%429","Lake","Residential Improved","Cedar Creek",0.98,0.99,1,9.21,21.98,1.02,0,481
"2.5%430","Lake","Residential Improved","Center",0.96,0.97,0.97,12.66,36.01,1.03,0,1845
