"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp243","Ohio","Commercial Improved","Countywide",0.86,0.99,1.12,21.06,25.76,1.04,0,17
"2.5%583","Ohio","Residential Vacant","Countywide",0.77,0.88,0.95,21.73,30.51,1.08,0,25
"2.5%584","Ohio","Residential Improved","Countywide",0.88,0.92,0.95,16.03,20.42,1.04,0,208
"2.5%585","Ohio","Residential Improved","Cass",0.84,0.88,0.96,19.71,29.12,1.12,0,34
"2.5%586","Ohio","Residential Improved","Randolph",0.89,0.93,0.95,15.28,18.45,1.03,0,174
"1143","Orange","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1144","Orange","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1145","Orange","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%587","Orange","Commercial Improved","Countywide",0.92,0.95,1.04025,22.54,36.58,1.27,0,36
"df_sp244","Orange","Commercial Improved","Orleans",0.93,1.04,1.12,7.05,8.85,1.02,0,6
"df_sp245","Orange","Commercial Improved","Paoli",0.31,0.92,0.94,31.79,51.58,1.69,0,18
"df_sp246","Orange","Commercial Improved","French Lick",0.96,1.06,1.1,9.86,14.6,0.99,0,12
"2.5%588","Orange","Residential Vacant","Countywide",0.53,0.87,0.92,37.38,58.6,1.56,0,32
"2.5%589","Orange","Residential Vacant","French Lick",0.83,0.9,0.99,34.99,60.31,2,0,21
"df_sp247","Orange","Residential Vacant","Southeast",0.27,0.67,0.97,38.94,53.03,1.12,0,11
"2.5%590","Orange","Residential Improved","Countywide",0.94,0.97,0.99,22.61,33.26,1.06,0,341
"2.5%591","Orange","Residential Improved","French Lick",0.97,1.02,1.06,24.24,34.57,1.04,0,88
"df_sp248","Orange","Residential Improved","Greenfield",0.87,0.97,1.08,11.81,14.33,1.01,0,12
"df_sp249","Orange","Residential Improved","Jackson",0.88,0.94,1.02,12.66,17.54,1.01,0,15
"2.5%592","Orange","Residential Improved","Orleans",0.93,1,1.06,20.7,29.23,1.06,0,59
"2.5%593","Orange","Residential Improved","Paoli",0.9,0.93,0.96,20.75,32.11,1.06,0,113
"2.5%594","Orange","Residential Improved","Stampers Creek",0.86,0.94,1.03,27.9,38.55,1.09,0,44
"1146","Owen","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1147","Owen","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1148","Owen","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp250","Owen","Commercial Improved","Countywide",0.85,0.95,1.04,9.51,13.01,1,0,7
"2.5%595","Owen","Residential Vacant","Countywide",0.7,0.81,0.91,29.38,38.08,1.07,0,32
"2.5%596","Owen","Residential Improved","Countywide",0.89,0.91,0.92,13.69,17.4,1.02,0,211
"df_sp251","Owen","Residential Improved","Clay",0.78,0.9,0.94,12.54,15.76,1.02,0,19
"df_sp252","Owen","Residential Improved","Franklin",0.74,0.93,1.04,11.86,15.03,1.01,0,8
