"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1115","Henry","Commercial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1116","Henry","Residential Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%270","Henry","Residential Improved","Countywide",0.94,0.95,0.96,12.52,16.42,1.02,0,515
"df_sp107","Henry","Residential Improved","Blue River",0.92,0.94,0.97,5.18,9.35,1.01,0,7
"df_sp108","Henry","Residential Improved","Dudley",0.74,0.94,0.98,12.37,17.82,1.01,0,7
"2.5%271","Henry","Residential Improved","Fall Creek",0.91,0.95,0.99025,11.02,13.59,1.01,0,55
"df_sp109","Henry","Residential Improved","Franklin",0.87,0.96,0.99,5.19,7.03,1,0,11
"df_sp110","Henry","Residential Improved","Greensboro",0.77,0.95,1.07,12.67,16.75,1.01,0,6
"df_sp111","Henry","Residential Improved","Harrison",0.81,0.96,0.98,5.65,8.17,1,0,5
"df_sp112","Henry","Residential Improved","Jefferson",0.88,0.96,0.98,12.88,17.86,1,0,17
"df_sp113","Henry","Residential Improved","Liberty",0.73,0.95,1.21,13.18,18.49,1.02,0,5
"2.5%272","Henry","Residential Improved","Prairie",0.87,0.94,1,13.09,17.54,1.01,0,42
"df_sp114","Henry","Residential Improved","Spiceland",0.92,0.94,1,7.85,10.86,1.02,0,17
"2.5%273","Henry","Residential Improved","Wayne",0.91,0.97,1.01,13.11,17.58,1.02,0,49
"2.5%274","Henry","Residential Improved","Henry",0.93,0.95,0.96,13.35,17.27,1.02,0,294
"1117","Howard","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp115","Howard","Industrial Improved","Countywide",0.62,0.75,0.75,14.41,22.56,1.03,0,9
"1118","Howard","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%275","Howard","Commercial Improved","Countywide",0.85,0.91,0.96,18.36,24.69,1.03,0,100
"2.5%276","Howard","Residential Vacant","Countywide",0.87,0.92,1.03,19.59,23.45,1.02,0,50
"2.5%277","Howard","Residential Improved","Countywide",0.92,0.92,0.93,16.88,56.89,1.05,0,2977
"2.5%278","Howard","Residential Improved","Center",0.91,0.92,0.93,16.77,44.69,1.04,0,1732
"2.5%279","Howard","Residential Improved","Clay",0.9,0.91,0.93,16.48,75.74,1.07,0,120
"2.5%280","Howard","Residential Improved","Ervin",0.89,0.91,0.97,9.14,11.61,1.01,0,32
"2.5%281","Howard","Residential Improved","Harrison",0.91,0.92,0.93,15.75,65.2,1.06,0,377
"2.5%282","Howard","Residential Improved","Honey Creek",0.89,0.91,0.99,13.5,16.76,1.02,0,57
"2.5%283","Howard","Residential Improved","Howard",0.89,0.91,0.95,10.21,14.4,1.01,0,69
"df_sp116","Howard","Residential Improved","Jackson",0.82,0.92,1.05,11.75,14.12,1.01,0,13
"2.5%284","Howard","Residential Improved","Liberty",0.91,0.92,0.94,12.99,17.38,1.03,0,141
"2.5%285","Howard","Residential Improved","Monroe",0.92,0.96,1.01,56.84,171.21,1.37,0,31
"2.5%286","Howard","Residential Improved","Taylor",0.91,0.92,0.94,19.25,69.99,1.07,0,378
"2.5%287","Howard","Residential Improved","Union",0.86,0.92,1.02,15.13,18.16,1.03,0,27
"1119","Huntington","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1120","Huntington","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1121","Huntington","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp117","Huntington","Commercial Improved","Countywide",0.73,0.91,0.99,13.28,16.28,1.02,0,14
"df_sp118","Huntington","Residential Vacant","Countywide",0.86,0.95,1.03,12.88,20.96,1.03,0,8
"2.5%288","Huntington","Residential Improved","Countywide",0.92,0.93,0.94,11.72,15.63,1.01,0,820
"df_sp119","Huntington","Residential Improved","Jefferson",0.81,0.92,1.02,9.51,11.95,1,0,11
"df_sp120","Huntington","Residential Improved","Warren",0.81,0.94,1.02,11.92,15.25,1.02,0,13
"2.5%289","Huntington","Residential Improved","Clear Creek",0.84,0.92,0.96,9.38,11.72,1,0,24
"2.5%290","Huntington","Residential Improved","Dallas",0.91,0.95,0.96,5.82,7.45,1.02,0,33
"2.5%291","Huntington","Residential Improved","Huntington",0.92,0.93,0.94,12.47,16.66,1.01,0,526
"2.5%292","Huntington","Residential Improved","Jackson",0.89,0.93,0.95,10.87,14.23,1.01,0,119
"df_sp121","Huntington","Residential Improved","Lancaster",0.9,0.94,0.97,10.95,15.48,1.02,0,19
"2.5%293","Huntington","Residential Improved","Rock Creek",0.79,0.92,1.01,12.62,14.88,1.01,0,23
"2.5%294","Huntington","Residential Improved","Salamonie",0.88,0.93,0.99,12.35,16.07,1.01,0,37
"df_sp122","Huntington","Residential Improved","Union",0.89,0.93,0.96,7.57,10.28,1.02,0,15
"1122","Jackson","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1123","Jackson","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1124","Jackson","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp123","Jackson","Commercial Improved","Countywide",0.76,0.95,0.98,16.54,21.54,1,0,12
