"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%131","Decatur","Residential Improved","Clay",0.82,0.92,0.99,15.63,23.26,1.02,0,24
"df_sp60","Decatur","Residential Improved","Clinton",0.8,0.87,0.93,19.57,31.07,1.08,0,18
"2.5%132","Decatur","Residential Improved","Fugit",0.85,0.91,0.96,14.94,18.66,1.01,0,80
"2.5%133","Decatur","Residential Improved","Marion",0.82,0.93,1.03,18.42,29.23,1.07,0,25
"2.5%134","Decatur","Residential Improved","Saltcreek",0.86,0.97,1.02,13.74,18.73,1.04,0,21
"2.5%135","Decatur","Residential Improved","Sandcreek",0.91,0.94,1,14.2,19.89,1.03,0,58
"2.5%136","Decatur","Residential Improved","Washington",0.91,0.93,0.94,14.42,38.17,1.03,0,507
"146","Dekalb","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"147","Dekalb","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"148","Dekalb","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp61","Dekalb","Commercial Improved","Countywide",0.83,0.88,1.03,16.85,22.02,1,0,15
"df_sp62","Dekalb","Commercial Improved","Union",0.83,0.96,1.08,13.29,16.08,0.99,0,8
"df_sp63","Dekalb","Commercial Improved","Butler",0.73,0.86,0.98,18.29,29.05,1.09,0,7
"2.5%137","Dekalb","Residential Vacant","Countywide",0.63,1,1.12,30.04,39.28,1.06,0,20
"df_sp64","Dekalb","Residential Vacant","Keyser",0.63,0.75,1.1,38.28,38.9,1.13,0,9
"149","Dekalb","Residential Vacant","Union",NA,NA,NA,NA,NA,NA,NA,2
"df_sp65","Dekalb","Residential Vacant","Butler",0.6,0.93,1.08,33.71,46.26,1.08,0,9
"2.5%138","Dekalb","Residential Improved","Countywide",0.96,0.98,0.99,17.33,36.59,1.05,0,647
"2.5%139","Dekalb","Residential Improved","Butler",0.93975,0.98,1,10.56,15.74,1.02,0,73
"2.5%140","Dekalb","Residential Improved","Concord",0.9,0.99,1.04,13.64,16.84,1,0,33
"2.5%141","Dekalb","Residential Improved","Fairfield",0.8295,0.93,1.01,13.54,16.39,1.03,0,22
"2.5%142","Dekalb","Residential Improved","Franklin",0.89,0.95,1.03,16.9,21.31,1.02,0,68
"2.5%143","Dekalb","Residential Improved","Grant",0.91,0.96,1,13.44,19.29,1.01,0,62
"2.5%144","Dekalb","Residential Improved","Keyser",0.95,0.98,1,22.32,47.54,1.09,0,142
"2.5%145","Dekalb","Residential Improved","Union",0.98,0.99,1.01,18.42,39.99,1.06,0,247
"150","Delaware","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"151","Delaware","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"152","Delaware","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%146","Delaware","Commercial Improved","Countywide",0.88,0.93,0.99,20.35,28.24,1.24,0,90
"2.5%147","Delaware","Commercial Improved","Center",0.84,0.92,0.99,21.7,29.63,1.27,0,69
"df_sp66","Delaware","Commercial Improved","Mt. Pleasant",0.52,0.87,1.08,24.61,34.62,0.97,0,8
"df_sp67","Delaware","Commercial Improved","Delaware",0.9,0.98,1,9.8,14.02,1.01,0,13
"2.5%148","Delaware","Residential Vacant","Countywide",0.97,1.02,1.08,16.02,30.95,1.2,0,26
"153","Delaware","Residential Vacant","Center",NA,NA,NA,NA,NA,NA,NA,3
"df_sp68","Delaware","Residential Vacant","Mt. Pleasant",0.99,1.07,1.1,6.66,8.64,1.01,0,10
"df_sp69","Delaware","Residential Vacant","Delaware",0.85,0.98,1.08,24.46,45.48,1.36,0,13
"2.5%149","Delaware","Residential Improved","Countywide",0.91,0.92,0.93,14.63,19.16,1.02,0,1496
"2.5%150","Delaware","Residential Improved","Center",0.9,0.91,0.93,15.53,19.82,1.03,0,929
"2.5%151","Delaware","Residential Improved","Delaware",0.86,0.92,0.96,11.76,16.15,0.99,0,33
"2.5%152","Delaware","Residential Improved","Hamilton",0.89,0.92,0.94,12.67,17.76,1,0,90
"2.5%153","Delaware","Residential Improved","Harrison",0.89,0.93,1.01,10.29,12.88,1.03,0,31
"2.5%154","Delaware","Residential Improved","Liberty",0.82,0.94,0.98,16.82,21.27,1.02,0,45
"2.5%155","Delaware","Residential Improved","Monroe",0.89,0.94,0.99,11.69,14.81,1,0,33
"2.5%156","Delaware","Residential Improved","Mt. Pleasant",0.89,0.91,0.93,13.93,19.11,1.02,0,235
"df_sp70","Delaware","Residential Improved","Niles",0.89,0.94,0.99,11.44,17.54,1.01,0,13
"df_sp71","Delaware","Residential Improved","Perry",0.92,0.94,1.07,10.98,14.05,1.01,0,18
"2.5%157","Delaware","Residential Improved","Salem",0.9,0.94,1,12.76,17.78,1.04,0,38
"2.5%158","Delaware","Residential Improved","Union",0.93,0.95,1.02,9.52,16.52,0.99,0,21
"df_sp72","Delaware","Residential Improved","Washington",0.92,1.01,1.18,13.71,16.99,1.04,0,10
"154","Dubois","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"155","Dubois","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"156","Dubois","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp73","Dubois","Commercial Improved","Countywide",0.89,0.94,0.98,10.17,21.91,1.04,0,14
"df_sp74","Dubois","Commercial Improved","Bainbridge",0.9,0.96,0.98,12.29,27.69,1.03,0,9
"df_sp75","Dubois","Commercial Improved","Boone",0.89,0.91,1.06,5.06,7.57,1,0,5
"2.5%159","Dubois","Residential Vacant","Countywide",0.87,0.9,0.95,13.26,19.11,0.99,0,40
"2.5%160","Dubois","Residential Vacant","Bainbridge",0.76,0.88,0.94,15.63,21.24,0.98,0,20
